Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
Espada auxiliar/ Ancillary Sword (Spanish Edition),Science Fiction : Space Opera,Ann Leckie,$22.08,,400 pages,Ediciones B,"November 30, 2017",Spanish,8466660429,978-8466660426,5.9 x 1.1 x 9.1 inches,1 pounds
"Privateer: Alexis Carew ,5 (Volume 5)",Science Fiction : Space Opera,J A Sutherland,$17.99,Alexis Carew (Book 5),478 pages,CreateSpace Independent Publishing Platform,"November 1, 2017",English,1977820913,978-1977820914,6 x 1.2 x 9 inches,1.8 pounds
An Unwanted Inheritance (Cas Dragunov) (Volume 1),Science Fiction : Space Opera,Alex R Carver,$7.99,Cas Dragunov (Book 1),170 pages,CreateSpace Independent Publishing Platform; 1 edition,"November 28, 2017",English,1981235698,978-1981235698,6 x 0.4 x 9 inches,11 ounces
La Kronissea di Kron e degli Esiliati: Thanatos (Volume 3) (Italian Edition),Science Fiction : Space Opera,Paola Panaccione,$20.00,La Kronissea di Kron e degli Esiliati (Book 3),96 pages,CreateSpace Independent Publishing Platform; 1 edition,"November 22, 2017",Italian,1976202930,978-1976202933,6 x 0.2 x 9 inches,7 ounces
Communication Failure (Epic Failure Trilogy),Science Fiction : Space Opera,Joe Zieja,$11.55,Epic Failure Trilogy (Book 2),336 pages,Saga Press; Not for Online ed. edition,"November 7, 2017",English,148148690X,978-1481486903,5.5 x 0.9 x 8.2 inches,9.9 ounces
"Legend of the Galactic Heroes, Vol. 5: Mobilization",Science Fiction : Space Opera,Yoshiki Tanaka and Tyran Grillo,$9.34,Legend of the Galactic Heroes (Book 5),272 pages,Haikasoru,"November 21, 2017",English,1421584980,978-1421584980,5.2 x 0.6 x 8 inches,7.8 ounces
The Devastation of Baal (Space Marine Conquests),Science Fiction : Space Opera,Guy Haley,$12.59,Space Marine Conquests (Book 1),512 pages,Games Workshop,"November 28, 2017",English,1784965936,978-1784965938,5.1 x 1.3 x 7.8 inches,12 ounces
The Eye of Medusa (Iron Hands),Science Fiction : Space Opera,David Guymer,$12.55,Iron Hands (Book 1),432 pages,Games Workshop,"November 14, 2017",English,1784966134,978-1784966133,5.1 x 1.2 x 7.8 inches,10.2 ounces
Forgotten Relics (Rogue Element) (Volume 1),Science Fiction : Space Opera,Cianien Bloodstone,$17.00,Rogue Element (Book 1),416 pages,CreateSpace Independent Publishing Platform,"November 20, 2017",English,1979505187,978-1979505185,5 x 0.9 x 8 inches,1.2 pounds
Pew! Pew! Volume 3: Bite My Shiny Metal Pew!,Science Fiction : Space Opera,Chris J. Pike and Michael Anderle,$22.99,,530 pages,CreateSpace Independent Publishing Platform,"November 7, 2017",English,197957314X,978-1979573146,5.2 x 1.3 x 8 inches,1.5 pounds
