ID,Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
1500,Jade Star,Science Fiction - Space Opera,Cedar Sanderson,$8.99,,162.0,Createspace Independent Publishing Platform,July 2016,,1536830089,9781536830088,7.99 x 5 x 0.37 inches,0.4 pounds
1501,The Polarian-Denebian War 1  :  Operation Aphrodite,Science Fiction - Space Opera,Jimmy Guieu and Michael Shreve,$30.95,,400.0,Hollywood Comics,July 2016,,1612275168,9781612275161,8 x 5 x 0.89 inches,0.95 pounds
1502,Demigod,Science Fiction - Space Opera,Blaze Ward,$6.99,,144.0,Knotted Road Press,July 2016,,1943663181,9781943663187,7.99 x 5 x 0.31 inches,0.33 pounds
1503,Unbreakable,Science Fiction - Space Opera,W. C. Bauers,$15.99,,384.0,Tor Books,July 2016,,0765375435,9780765375438,9.1 x 6.1 x 1.1 inches,0.6 pounds
1504,The Forever Enemy,Science Fiction - Space Opera,Craig Robertson,$12.99,,278.0,Imagine-It Publishing,July 2016,,0997307315,9780997307313,9.02 x 5.98 x 0.58 inches,0.83 pounds
1505,Eocene Station,Science Fiction - Space Opera,Dave Duncan,$28.99,,320.0,Five Rivers Chapmanry,July 2016,,1988274052,9781988274058,9 x 6 x 0.72 inches,1.04 pounds
1506,Leyendas del Metaverso,Science Fiction - Space Opera,Felicidad Martinez and Eduardo Vaquerizo and Juan Antonio Fernandez Madrigal,$13.40,,274.0,Sportula,July 2016,,8416637199,9788416637195,9 x 6 x 0.62 inches,0.89 pounds
1507,Vengeance of Humanity,Science Fiction - Space Opera,Arthur McMahon,$6.99,,134.0,Createspace Independent Publishing Platform,July 2016,,1545185301,9781545185308,9 x 6 x 0.31 inches,0.45 pounds
1508,"""Legend of the Galactic Heroes, Volume 2  :  Ambition""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,288.0,Haikasoru,July 2016,,1421584956,9781421584959,7.9 x 5.2 x 0.9 inches,0.6 pounds
1509,Solestara,Science Fiction - Space Opera,Caroline Hough,$15.00,,306.0,Netherworld Books,July 2016,,1910105759,9781910105757,9 x 6 x 0.69 inches,0.99 pounds
1510,Star of Sound  :  Book Two of the Voice of the Universe Series,Science Fiction - Space Opera,Julius R. Jones,$12.99,,336.0,Createspace Independent Publishing Platform,July 2016,,1533402493,9781533402493,7.99 x 5.24 x 0.7 inches,0.77 pounds
1511,"""L, the Illuminator I.""",Science Fiction - Space Opera,Ki As,$15.99,,268.0,Createspace Independent Publishing Platform,July 2016,,1535004290,9781535004299,7.99 x 5 x 0.61 inches,0.65 pounds
1512,Exodus  :  Tales of the Empire: Book 2: Beasts of the Frontier.,Science Fiction - Space Opera,Doug Dandridge,$12.00,,242.0,Createspace Independent Publishing Platform,July 2016,,1535144424,9781535144421,7.99 x 5 x 0.51 inches,0.54 pounds
1513,Prophet  :  Tri-Empire,Science Fiction - Space Opera,L. E. Thissell,$14.95,,318.0,Createspace Independent Publishing Platform,July 2016,,1535371919,9781535371919,9 x 6 x 0.67 inches,0.94 pounds
1514,"Ad Astra 007 Buchausgabe  :  Krisenfall Violett: Ein Neuer Roman Aus Der Reihe Terra Futura!""",Science Fiction - Space Opera,W. Berner,$13.95,,178.0,Createspace Independent Publishing Platform,July 2016,,1535397357,9781535397353,7.99 x 5.24 x 0.38 inches,0.42 pounds
1515,The Lunar Conspiracy,Science Fiction - Space Opera,Albert C. Kromer,$16.28,,472.0,Createspace Independent Publishing Platform,July 2016,,1535550570,9781535550574,9 x 6 x 1.05 inches,1.51 pounds
1516,Star Eagle Six,Science Fiction - Space Opera,Bob Thomas,$12.99,,294.0,Createspace Independent Publishing Platform,July 2016,,153087808X,9781530878086,9.02 x 5.98 x 0.62 inches,0.87 pounds
1517,Rimrider,Science Fiction - Space Opera,L. a. Kelley,$11.99,,322.0,Createspace Independent Publishing Platform,July 2016,,1536964514,9781536964516,9.02 x 5.98 x 0.67 inches,0.95 pounds
1518,Blake Starwater and the Adventures of the Starship Perilous  :  The First Five Adventures,Science Fiction - Space Opera,Alpert L. Pine,$11.99,,210.0,Rowing Upstream,July 2016,,0692713360,9780692713365,8 x 5.25 x 0.48 inches,0.54 pounds
